Year,Sector ID,Sector,GDP
1994,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",20386.77771
1994,21,Minería,24637.99506
1994,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",5944.975997
1994,23,Construcción,29518.37905
1994,31-33,Industrias manufactureras,92067.29519
1994,43,Comercio al por mayor,34666.77081
1994,46,Comercio al por menor,38620.49002
1994,48-49,"Transportes, correos y almacenamiento",25154.32224
1994,51,Información en medios masivos,7280.755779
1994,52,Servicios financieros y de seguros,17064.28757
1994,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,54113.52645
1994,54,"Servicios profesionales, científicos y técnicos",6131.031566
1994,55,Dirección y administración de grupos empresariales o corporativos,2174.006667
1994,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",16262.73592
1994,61,Servicios educativos,15455.86202
1994,62,Servicios de salud y de asistencia social,8577.238177
1994,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",3479.000322
1994,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,17187.69584
1994,81,Otros servicios excepto actividades gubernamentales,13306.99301
1994,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",14613.57719
1995,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",25207.67078
1995,21,Minería,36410.74592
1995,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",8441.822387
1995,23,Construcción,29139.35721
1995,31-33,Industrias manufactureras,129166.2039
1995,43,Comercio al por mayor,50935.97692
1995,46,Comercio al por menor,54858.7906
1995,48-49,"Transportes, correos y almacenamiento",34541.42978
1995,51,Información en medios masivos,8314.191855
1995,52,Servicios financieros y de seguros,20757.15494
1995,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,72936.17132
1995,54,"Servicios profesionales, científicos y técnicos",7800.193357
1995,55,Dirección y administración de grupos empresariales o corporativos,2903.592849
1995,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",21138.79293
1995,61,Servicios educativos,18685.66596
1995,62,Servicios de salud y de asistencia social,10522.02171
1995,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",3822.430187
1995,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,18662.95768
1995,81,Otros servicios excepto actividades gubernamentales,15527.01587
1995,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",17227.32232
1996,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",37617.47141
1996,21,Minería,46559.65192
1996,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",11885.45345
1996,23,Construcción,41169.49632
1996,31-33,Industrias manufactureras,182396.1019
1996,43,Comercio al por mayor,72403.43107
1996,46,Comercio al por menor,77211.05228
1996,48-49,"Transportes, correos y almacenamiento",48871.588
1996,51,Información en medios masivos,10795.90456
1996,52,Servicios financieros y de seguros,17834.5649
1996,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,93728.87386
1996,54,"Servicios profesionales, científicos y técnicos",10987.4206
1996,55,Dirección y administración de grupos empresariales o corporativos,3786.696229
1996,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",28946.691
1996,61,Servicios educativos,23833.20119
1996,62,Servicios de salud y de asistencia social,12732.85724
1996,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",4573.460938
1996,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,23818.02417
1996,81,Otros servicios excepto actividades gubernamentales,19197.49435
1996,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",22379.23706
1997,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",43722.81335
1997,21,Minería,60953.95003
1997,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",14794.36377
1997,23,Construcción,52887.54696
1997,31-33,Industrias manufactureras,231742.1471
1997,43,Comercio al por mayor,92869.20469
1997,46,Comercio al por menor,92674.8481
1997,48-49,"Transportes, correos y almacenamiento",64453.21651
1997,51,Información en medios masivos,12794.37502
1997,52,Servicios financieros y de seguros,17931.07673
1997,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,114269.0987
1997,54,"Servicios profesionales, científicos y técnicos",14813.00607
1997,55,Dirección y administración de grupos empresariales o corporativos,5187.810668
1997,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",36769.62827
1997,61,Servicios educativos,30450.12035
1997,62,Servicios de salud y de asistencia social,15640.56773
1997,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",6026.56762
1997,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,30997.89892
1997,81,Otros servicios excepto actividades gubernamentales,23981.51799
1997,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",29516.61514
1998,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",49758.61584
1998,21,Minería,65495.27287
1998,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",17523.92513
1998,23,Construcción,68936.46213
1998,31-33,Industrias manufactureras,282988.0274
1998,43,Comercio al por mayor,112592.3097
1998,46,Comercio al por menor,116347.8734
1998,48-49,"Transportes, correos y almacenamiento",80676.18426
1998,51,Información en medios masivos,17062.0771
1998,52,Servicios financieros y de seguros,21787.95166
1998,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,141166.4979
1998,54,"Servicios profesionales, científicos y técnicos",19595.63898
1998,55,Dirección y administración de grupos empresariales o corporativos,5507.595003
1998,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",44719.44595
1998,61,Servicios educativos,38743.58598
1998,62,Servicios de salud y de asistencia social,20615.56225
1998,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7094.349381
1998,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,38937.47851
1998,81,Otros servicios excepto actividades gubernamentales,28554.94051
1998,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",35727.15781
1999,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",52660.51614
1999,21,Minería,88524.02539
1999,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",23520.68373
1999,23,Construcción,83926.21017
1999,31-33,Industrias manufactureras,320752.0003
1999,43,Comercio al por mayor,129198.041
1999,46,Comercio al por menor,133685.79
1999,48-49,"Transportes, correos y almacenamiento",97467.60497
1999,51,Información en medios masivos,21946.70031
1999,52,Servicios financieros y de seguros,27868.33285
1999,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,160934.0673
1999,54,"Servicios profesionales, científicos y técnicos",25648.47382
1999,55,Dirección y administración de grupos empresariales o corporativos,6099.779378
1999,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",54225.09835
1999,61,Servicios educativos,47865.6939
1999,62,Servicios de salud y de asistencia social,26552.4817
1999,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",8371.391925
1999,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,47174.47753
1999,81,Otros servicios excepto actividades gubernamentales,34068.8311
1999,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",44400.26032
2000,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",55420.47933
2000,21,Minería,106419.0943
2000,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",25806.30449
2000,23,Construcción,101835.0278
2000,31-33,Industrias manufactureras,369163.5042
2000,43,Comercio al por mayor,149673.382
2000,46,Comercio al por menor,159220.6582
2000,48-49,"Transportes, correos y almacenamiento",116143.324
2000,51,Información en medios masivos,26605.99603
2000,52,Servicios financieros y de seguros,28444.95215
2000,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,183600.0975
2000,54,"Servicios profesionales, científicos y técnicos",32299.30215
2000,55,Dirección y administración de grupos empresariales o corporativos,6929.618297
2000,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",64101.21045
2000,61,Servicios educativos,56820.83085
2000,62,Servicios de salud y de asistencia social,31471.66718
2000,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",9616.572176
2000,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,57197.32954
2000,81,Otros servicios excepto actividades gubernamentales,39287.86058
2000,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",56471.2651
2001,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",59973.72716
2001,21,Minería,113177.6889
2001,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",28487.35616
2001,23,Construcción,105299.079
2001,31-33,Industrias manufactureras,372345.1736
2001,43,Comercio al por mayor,148437.3254
2001,46,Comercio al por menor,162093.1859
2001,48-49,"Transportes, correos y almacenamiento",122406.7289
2001,51,Información en medios masivos,30921.64628
2001,52,Servicios financieros y de seguros,38468.23217
2001,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,198411.6412
2001,54,"Servicios profesionales, científicos y técnicos",37394.80997
2001,55,Dirección y administración de grupos empresariales o corporativos,6965.428025
2001,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",66853.11165
2001,61,Servicios educativos,65813.68866
2001,62,Servicios de salud y de asistencia social,37304.63595
2001,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",10123.35071
2001,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,62923.72843
2001,81,Otros servicios excepto actividades gubernamentales,42605.78288
2001,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",61528.96983
2002,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",60869.08135
2002,21,Minería,122533.1499
2002,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",32561.64157
2002,23,Construcción,111711.1433
2002,31-33,Industrias manufactureras,376348.625
2002,43,Comercio al por mayor,151383.0472
2002,46,Comercio al por menor,169957.5238
2002,48-49,"Transportes, correos y almacenamiento",125177.6064
2002,51,Información en medios masivos,33354.62846
2002,52,Servicios financieros y de seguros,40714.0754
2002,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,211340.6641
2002,54,"Servicios profesionales, científicos y técnicos",40868.719
2002,55,Dirección y administración de grupos empresariales o corporativos,7434.960405
2002,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",70925.93152
2002,61,Servicios educativos,73078.15752
2002,62,Servicios de salud y de asistencia social,41049.17002
2002,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",11175.36789
2002,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,64609.57806
2002,81,Otros servicios excepto actividades gubernamentales,45240.80166
2002,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",70751.03202
2003,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",66231.22329
2003,21,Minería,101636.0519
2003,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",37075.63895
2003,23,Construcción,122968.3537
2003,31-33,Industrias manufactureras,388783.2836
2003,43,Comercio al por mayor,163799.4007
2003,46,Comercio al por menor,178836.9631
2003,48-49,"Transportes, correos y almacenamiento",129611.4965
2003,51,Información en medios masivos,36385.17612
2003,52,Servicios financieros y de seguros,46861.40756
2003,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,231801.5226
2003,54,"Servicios profesionales, científicos y técnicos",47310.9643
2003,55,Dirección y administración de grupos empresariales o corporativos,9245.606849
2003,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",75772.1504
2003,61,Servicios educativos,81914.26196
2003,62,Servicios de salud y de asistencia social,45322.46147
2003,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",11998.6192
2003,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,66500.13792
2003,81,Otros servicios excepto actividades gubernamentales,47891.17378
2003,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",76700.07813
2004,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",73665.87783
2004,21,Minería,142251.8202
2004,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",40738.77237
2004,23,Construcción,144438.9942
2004,31-33,Industrias manufactureras,435738.5023
2004,43,Comercio al por mayor,185238.996
2004,46,Comercio al por menor,202813.5302
2004,48-49,"Transportes, correos y almacenamiento",144143.4943
2004,51,Información en medios masivos,43073.22027
2004,52,Servicios financieros y de seguros,54093.59746
2004,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,251577.5387
2004,54,"Servicios profesionales, científicos y técnicos",52242.51841
